Library	invA	stn	Sim_Salm_reads_in_Library	Kr2_SalmonellaHits	Kr2_SSRconfirmed
f1rep10	1696	596	3637447	3396301	643015
f1rep11	1653	584	3637230	3396490	644233
f1rep1	1725	616	3636882	3395620	643655
f1rep12	1696	600	3634031	3393224	644075
f1rep13	1682	595	3637115	3395708	644137
f1rep14	1680	620	3635784	3395414	643112
f1rep15	1701	617	3635869	3395049	643053
f1rep16	1727	585	3635936	3394553	643083
f1rep17	1686	636	3634474	3393927	644274
f1rep18	1626	627	3635909	3394505	643693
f1rep19	1684	619	3636642	3395157	643885
f1rep20	1708	611	3635682	3393747	641817
f1rep2	1733	557	3636192	3395282	644016
f1rep3	1717	575	3634817	3393693	640257
f1rep4	1723	574	3637077	3396740	642689
f1rep5	1719	577	3636950	3395551	643250
f1rep6	1662	618	3635537	3393849	642996
f1rep7	1620	587	3634105	3392305	643072
f1rep8	1678	586	3637737	3397293	644443
f1rep9	1761	576	3635712	3395006	644627
f2rep10	177	77	395562	369281	70077
f2rep11	182	79	395878	369533	69998
f2rep1	177	84	396455	370072	69968
f2rep12	200	71	395555	369163	69859
f2rep13	161	79	395403	369131	69768
f2rep14	191	64	396296	370123	69673
f2rep15	175	78	396083	369769	70748
f2rep16	187	68	396006	369531	70186
f2rep17	188	77	396268	369807	69843
f2rep18	175	79	396233	370076	69266
f2rep19	179	73	396079	369706	70384
f2rep20	178	73	397069	370543	70067
f2rep2	192	90	396110	369578	70285
f2rep3	197	70	395631	369198	70199
f2rep4	178	78	396091	369515	70462
f2rep5	174	61	395115	368901	69904
f2rep6	212	72	395806	369377	70057
f2rep7	172	71	395851	369661	69741
f2rep8	192	66	396394	369928	69878
f2rep9	171	78	397040	370792	70679
f3rep10	14	3	40108	37458	7025
f3rep11	13	4	39720	37055	7007
f3rep1	21	4	40189	37440	7221
f3rep12	18	8	39945	37275	7005
f3rep13	17	8	39842	37200	7090
f3rep14	23	6	39599	36992	6903
f3rep15	16	9	39894	37264	6834
f3rep16	18	6	40121	37461	7089
f3rep17	21	6	40160	37415	7001
f3rep18	13	6	39920	37280	7017
f3rep19	14	7	40052	37403	6919
f3rep20	21	2	40109	37437	7024
f3rep2	18	8	39852	37261	7045
f3rep3	19	9	39909	37340	7136
f3rep4	18	6	39953	37284	7076
f3rep5	20	10	39995	37314	6909
f3rep6	15	12	40101	37428	7189
f3rep7	18	9	39770	37055	6978
f3rep8	19	5	39534	36895	6988
f3rep9	17	8	39910	37224	7035
f4rep10	0	1	3921	3660	676
f4rep11	3	1	3908	3640	698
f4rep12	1	0	3948	3680	689
f4rep13	0	0	3943	3685	683
f4rep14	1	1	4069	3796	736
f4rep1	4	3	4056	3804	777
f4rep15	0	0	4048	3759	702
f4rep16	2	0	4108	3829	753
f4rep17	0	1	4074	3800	733
f4rep18	5	1	4008	3751	645
f4rep19	0	0	3909	3666	698
f4rep20	2	2	4093	3810	683
f4rep2	1	1	4008	3728	682
f4rep3	3	1	3983	3722	684
f4rep4	1	1	3941	3691	684
f4rep5	0	0	4041	3764	670
f4rep6	3	1	4003	3740	687
f4rep7	2	0	3974	3716	725
f4rep8	0	2	3934	3693	690
f4rep9	4	1	4076	3795	738
f5rep10	0	0	412	384	86
f5rep1	0	0	418	395	70
f5rep11	0	0	377	354	100
f5rep12	1	0	377	346	54
f5rep13	0	0	408	382	74
f5rep14	0	0	407	390	64
f5rep15	0	0	388	364	51
f5rep16	0	0	415	384	63
f5rep17	0	0	371	348	69
f5rep18	0	0	383	373	63
f5rep19	0	0	370	344	80
f5rep20	0	0	414	388	57
f5rep2	0	0	416	393	62
f5rep3	1	0	392	376	78
f5rep4	0	1	419	405	71
f5rep5	0	0	389	367	86
f5rep6	0	0	397	380	65
f5rep7	0	0	407	385	64
f5rep8	0	0	424	412	70
f5rep9	0	0	407	381	73
f6rep10	0	0	36	39	7
f6rep1	0	0	43	44	12
f6rep11	0	0	32	32	4
f6rep12	0	0	39	41	8
f6rep13	0	0	41	44	11
f6rep14	0	0	33	32	9
f6rep15	0	0	33	32	5
f6rep16	0	0	38	38	10
f6rep17	0	0	39	42	7
f6rep18	0	0	45	49	16
f6rep19	0	0	48	51	12
f6rep20	0	0	45	47	11
f6rep2	0	0	38	38	6
f6rep3	0	0	33	33	5
f6rep4	0	0	38	39	5
f6rep5	0	0	35	36	8
f6rep6	0	0	35	33	5
f6rep7	0	0	48	44	7
f6rep8	0	0	44	46	8
f6rep9	0	0	32	31	6
f7rep10	0	0	6	6	0
f7rep1	0	0	4	7	0
f7rep11	0	0	4	7	2
f7rep12	0	0	2	5	1
f7rep13	0	0	2	4	0
f7rep14	0	0	4	7	0
f7rep15	0	0	2	5	0
f7rep16	0	0	6	9	3
f7rep17	0	0	7	13	0
f7rep18	0	0	4	7	0
f7rep19	0	0	5	8	0
f7rep20	0	0	6	11	2
f7rep2	0	0	6	10	0
f7rep3	0	0	4	7	0
f7rep4	0	0	4	7	4
f7rep5	0	0	5	11	4
f7rep6	0	0	3	7	2
f7rep7	0	0	3	4	2
f7rep8	0	0	2	6	0
f7rep9	0	0	3	7	0
f8rep10	0	0	0	5	0
f8rep1	0	0	1	1	0
f8rep11	0	0	0	6	0
f8rep12	0	0	0	4	0
f8rep13	0	0	1	4	0
f8rep14	0	0	0	5	0
f8rep15	0	0	1	4	0
f8rep16	0	0	0	2	0
f8rep17	0	0	0	3	0
f8rep18	0	0	0	4	0
f8rep19	0	0	0	2	0
f8rep20	0	0	1	6	0
f8rep2	0	0	0	3	0
f8rep3	0	0	1	7	0
f8rep4	0	0	1	3	0
f8rep5	0	0	0	2	0
f8rep6	0	0	0	3	0
f8rep7	0	0	0	3	0
f8rep8	0	0	0	1	0
f8rep9	0	0	0	5	0
