Sample name	Spike	Replicate	g__Salmonella
negrep1	neg	1	0
negrep2	neg	2	0
negrep3	neg	3	0
negrep4	neg	4	0
negrep5	neg	5	0
negrep6	neg	6	0
negrep7	neg	7	0
negrep8	neg	8	0
negrep9	neg	9	0
negrep10	neg	10	0
negrep11	neg	11	0
negrep12	neg	12	0
negrep13	neg	13	0
negrep14	neg	14	0
negrep15	neg	15	0
negrep16	neg	16	0
negrep17	neg	17	0
negrep18	neg	18	0
negrep19	neg	19	0
negrep20	neg	20	0
salm5rep1	5	1	0
salm5rep2	5	2	0
salm5rep3	5	3	0
salm5rep4	5	4	0
salm5rep5	5	5	0
salm5rep6	5	6	0
salm5rep7	5	7	0
salm5rep8	5	8	0
salm5rep9	5	9	0
salm5rep10	5	10	0
salm5rep11	5	11	0
salm5rep12	5	12	0
salm5rep13	5	13	0
salm5rep14	5	14	0
salm5rep15	5	15	0
salm5rep16	5	16	0
salm5rep17	5	17	0
salm5rep18	5	18	0
salm5rep19	5	19	0
salm5rep20	5	20	0
salm10rep1	10	1	0
salm10rep2	10	2	0
salm10rep3	10	3	0
salm10rep4	10	4	0
salm10rep5	10	5	0
salm10rep6	10	6	0
salm10rep7	10	7	0
salm10rep8	10	8	0
salm10rep9	10	9	0
salm10rep10	10	10	0
salm10rep11	10	11	0
salm10rep12	10	12	0
salm10rep13	10	13	0
salm10rep14	10	14	0
salm10rep15	10	15	0
salm10rep16	10	16	0
salm10rep17	10	17	0
salm10rep18	10	18	0
salm10rep19	10	19	0
salm10rep20	10	20	0
salm50rep1	50	1	0
salm50rep2	50	2	0
salm50rep3	50	3	0
salm50rep4	50	4	0
salm50rep5	50	5	0
salm50rep6	50	6	0
salm50rep7	50	7	0
salm50rep8	50	8	0
salm50rep9	50	9	0
salm50rep10	50	10	0
salm50rep11	50	11	0
salm50rep12	50	12	0
salm50rep13	50	13	0
salm50rep14	50	14	0
salm50rep15	50	15	0
salm50rep16	50	16	0
salm50rep17	50	17	0
salm50rep18	50	18	0
salm50rep19	50	19	0
salm50rep20	50	20	0
salm100rep1	100	1	0
salm100rep2	100	2	0
salm100rep3	100	3	0
salm100rep4	100	4	0
salm100rep5	100	5	0
salm100rep6	100	6	0
salm100rep7	100	7	0
salm100rep8	100	8	0
salm100rep9	100	9	0
salm100rep10	100	10	0
salm100rep11	100	11	0
salm100rep12	100	12	0
salm100rep13	100	13	0
salm100rep14	100	14	0
salm100rep15	100	15	0
salm100rep16	100	16	0
salm100rep17	100	17	0
salm100rep18	100	18	0
salm100rep19	100	19	0
salm100rep20	100	20	0
salm1000rep1	1000	1	0
salm1000rep2	1000	2	0
salm1000rep3	1000	3	0
salm1000rep4	1000	4	0
salm1000rep5	1000	5	0
salm1000rep6	1000	6	0
salm1000rep7	1000	7	0
salm1000rep8	1000	8	195.5
salm1000rep9	1000	9	115
salm1000rep10	1000	10	0
salm1000rep11	1000	11	0
salm1000rep12	1000	12	233.5
salm1000rep13	1000	13	0
salm1000rep14	1000	14	0
salm1000rep15	1000	15	0
salm1000rep16	1000	16	0
salm1000rep17	1000	17	0
salm1000rep18	1000	18	706
salm1000rep19	1000	19	0
salm1000rep20	1000	20	0
salm10000rep1	10000	1	9399.5
salm10000rep2	10000	2	9578.5
salm10000rep3	10000	3	8722.5
salm10000rep4	10000	4	9382
salm10000rep5	10000	5	9273
salm10000rep6	10000	6	9148
salm10000rep7	10000	7	8862.5
salm10000rep8	10000	8	9616.5
salm10000rep9	10000	9	10184.5
salm10000rep10	10000	10	10116.5
salm10000rep11	10000	11	8719.5
salm10000rep12	10000	12	10108.5
salm10000rep13	10000	13	8782
salm10000rep14	10000	14	10076
salm10000rep15	10000	15	8915.5
salm10000rep16	10000	16	8148.5
salm10000rep17	10000	17	8775.5
salm10000rep18	10000	18	9055.5
salm10000rep19	10000	19	10161.5
salm10000rep20	10000	20	8455
salm100000rep1	100000	1	101391.5
salm100000rep2	100000	2	97249
salm100000rep3	100000	3	98728.5
salm100000rep4	100000	4	98138.5
salm100000rep5	100000	5	101516
salm100000rep6	100000	6	97228
salm100000rep7	100000	7	102468.5
salm100000rep8	100000	8	97612.5
salm100000rep9	100000	9	98702
salm100000rep10	100000	10	99438.5
salm100000rep11	100000	11	97682
salm100000rep12	100000	12	98652.5
salm100000rep13	100000	13	93616
salm100000rep14	100000	14	100958
salm100000rep15	100000	15	99873.5
salm100000rep16	100000	16	104181
salm100000rep17	100000	17	101982
salm100000rep18	100000	18	101508.5
salm100000rep19	100000	19	101489
salm100000rep20	100000	20	97780.5
