fileID	Analysis round	Database	Kr2 confidence	Senterica reads in library	S.ent reads correctly IDed	S.ent reads assigned higher	Unclassified	S.ent reads incorrectly assigned	Tot reads IDed as Salm	False positives	Hits to SSRs	S.ent hits to SSRs	SSRs False Pos	Recall_Kr2	Recall_SSRs	Precision Kr2	Precision SSRs
salm100000rep15_kr2bac_c0	Round1-2	kr2bac	c0	100000	99030	889	0	81	101940	2910	9512	9498	14	0.9903	0.09498	0.9714537963507945	0.9985281749369218
salm100000rep15_kr2bac_c0.25	Round1-2	kr2bac	c0.25	100000	93910	6090	0	0	93910	0	9388	9388	0	0.9391	0.09388	1.0	1.0
salm100000rep15_kr2bac_c0.5	Round1-2	kr2bac	c0.5	100000	83250	16750	0	0	83250	0	9054	9054	0	0.8325	0.09054	1.0	1.0
salm100000rep15_kr2bac_c0.75	Round1-2	kr2bac	c0.75	100000	58015	40969	1016	0	58015	0	7808	7808	0	0.58015	0.07808	1.0	1.0
salm100000rep15_kr2bac_c1	Round1-2	kr2bac	c1	100000	9238	48585	42177	0	9238	0	2316	2316	0	0.09238	0.02316	1.0	1.0
salm100000rep6_kr2bac_c0	Round1-2	kr2bac	c0	100000	98958	950	0	92	101889	2931	9579	9566	13	0.98958	0.09566	0.9712334010540883	0.998642864599645
salm100000rep6_kr2bac_c0.25	Round1-2	kr2bac	c0.25	100000	93828	6172	0	0	93828	0	9450	9450	0	0.93828	0.0945	1.0	1.0
salm100000rep6_kr2bac_c0.5	Round1-2	kr2bac	c0.5	100000	83109	16890	1	0	83109	0	9108	9108	0	0.83109	0.09108	1.0	1.0
salm100000rep6_kr2bac_c0.75	Round1-2	kr2bac	c0.75	100000	58057	40968	975	0	58057	0	7866	7866	0	0.58057	0.07866	1.0	1.0
salm100000rep6_kr2bac_c1	Round1-2	kr2bac	c1	100000	9412	48391	42197	0	9412	0	2439	2439	0	0.09412	0.02439	1.0	1.0
salm100rep2_kr2bac_c0	Round1-2	kr2bac	c0	100	100	0	0	0	3078	2978	17	7	10	1.0	0.07	0.03248862897985705	0.4117647058823529
salm100rep2_kr2bac_c0.25	Round1-2	kr2bac	c0.25	100	93	7	0	0	93	0	7	7	0	0.93	0.07	1.0	1.0
salm100rep2_kr2bac_c0.5	Round1-2	kr2bac	c0.5	100	81	19	0	0	81	0	7	7	0	0.81	0.07	1.0	1.0
salm100rep2_kr2bac_c0.75	Round1-2	kr2bac	c0.75	100	55	44	1	0	55	0	4	4	0	0.55	0.04	1.0	1.0
salm100rep2_kr2bac_c1	Round1-2	kr2bac	c1	100	7	46	47	0	7	0	0	0	0	0.07	0.0	1.0	0.0
salm100000rep9_kr2bac_c0	Round1-2	kr2bac	c0	100000	99013	912	0	75	101985	2972	9604	9592	12	0.99013	0.09592	0.9708584595773888	0.9987505206164098
salm100000rep9_kr2bac_c0.25	Round1-2	kr2bac	c0.25	100000	93829	6171	0	0	93829	0	9466	9466	0	0.93829	0.09466	1.0	1.0
salm100000rep9_kr2bac_c0.5	Round1-2	kr2bac	c0.5	100000	83236	16764	0	0	83236	0	9087	9087	0	0.83236	0.09087	1.0	1.0
salm100000rep9_kr2bac_c0.75	Round1-2	kr2bac	c0.75	100000	58070	40930	1000	0	58070	0	7851	7851	0	0.5807	0.07851	1.0	1.0
salm100000rep9_kr2bac_c1	Round1-2	kr2bac	c1	100000	9358	48317	42325	0	9358	0	2366	2366	0	0.09358	0.02366	1.0	1.0
salm10000rep11_kr2bac_c0	Round1-2	kr2bac	c0	10000	9904	88	0	8	12869	2965	967	954	13	0.9904	0.0954	0.7696013676276323	0.9865563598759048
salm10000rep11_kr2bac_c0.25	Round1-2	kr2bac	c0.25	10000	9335	665	0	0	9335	0	940	940	0	0.9335	0.094	1.0	1.0
salm10000rep11_kr2bac_c0.5	Round1-2	kr2bac	c0.5	10000	8250	1750	0	0	8250	0	895	895	0	0.825	0.0895	1.0	1.0
salm10000rep11_kr2bac_c0.75	Round1-2	kr2bac	c0.75	10000	5786	4127	87	0	5786	0	773	773	0	0.5786	0.0773	1.0	1.0
salm10000rep11_kr2bac_c1	Round1-2	kr2bac	c1	10000	980	4814	4206	0	980	0	244	244	0	0.098	0.0244	1.0	1.0
salm100rep19_kr2bac_c0	Round1-2	kr2bac	c0	100	100	0	0	0	3018	2918	19	8	11	1.0	0.08	0.03313452617627568	0.42105263157894735
salm100rep19_kr2bac_c0.25	Round1-2	kr2bac	c0.25	100	90	10	0	0	90	0	7	7	0	0.9	0.07	1.0	1.0
salm100rep19_kr2bac_c0.5	Round1-2	kr2bac	c0.5	100	83	17	0	0	83	0	7	7	0	0.83	0.07	1.0	1.0
salm100rep19_kr2bac_c0.75	Round1-2	kr2bac	c0.75	100	52	48	0	0	52	0	6	6	0	0.52	0.06	1.0	1.0
salm100rep19_kr2bac_c1	Round1-2	kr2bac	c1	100	11	54	35	0	11	0	3	3	0	0.11	0.03	1.0	1.0
salm100rep16_kr2bac_c0	Round1-2	kr2bac	c0	100	96	3	0	1	2977	2881	19	6	13	0.96	0.06	0.03224722875377897	0.3157894736842105
salm100rep16_kr2bac_c0.25	Round1-2	kr2bac	c0.25	100	93	7	0	0	93	0	6	6	0	0.93	0.06	1.0	1.0
salm100rep16_kr2bac_c0.5	Round1-2	kr2bac	c0.5	100	80	20	0	0	80	0	6	6	0	0.8	0.06	1.0	1.0
salm100rep16_kr2bac_c0.75	Round1-2	kr2bac	c0.75	100	52	47	1	0	52	0	5	5	0	0.52	0.05	1.0	1.0
salm100rep16_kr2bac_c1	Round1-2	kr2bac	c1	100	5	46	49	0	5	0	1	1	0	0.05	0.01	1.0	1.0
salm10000rep5_kr2bac_c0	Round1-2	kr2bac	c0	10000	9884	103	0	13	12826	2942	943	934	9	0.9884	0.0934	0.7706221737096522	0.9904559915164369
salm10000rep5_kr2bac_c0.25	Round1-2	kr2bac	c0.25	10000	9333	667	0	0	9333	0	922	922	0	0.9333	0.0922	1.0	1.0
salm10000rep5_kr2bac_c0.5	Round1-2	kr2bac	c0.5	10000	8255	1745	0	0	8255	0	892	892	0	0.8255	0.0892	1.0	1.0
salm10000rep5_kr2bac_c0.75	Round1-2	kr2bac	c0.75	10000	5768	4136	96	0	5768	0	767	767	0	0.5768	0.0767	1.0	1.0
salm10000rep5_kr2bac_c1	Round1-2	kr2bac	c1	10000	930	4873	4197	0	930	0	250	250	0	0.093	0.025	1.0	1.0
salm10000rep13_kr2bac_c0	Round1-2	kr2bac	c0	10000	9890	104	0	6	12842	2952	946	933	13	0.989	0.0933	0.7701292633546176	0.9862579281183932
salm10000rep13_kr2bac_c0.25	Round1-2	kr2bac	c0.25	10000	9368	632	0	0	9368	0	921	921	0	0.9368	0.0921	1.0	1.0
salm10000rep13_kr2bac_c0.5	Round1-2	kr2bac	c0.5	10000	8336	1664	0	0	8336	0	882	882	0	0.8336	0.0882	1.0	1.0
salm10000rep13_kr2bac_c0.75	Round1-2	kr2bac	c0.75	10000	5818	4072	110	0	5818	0	766	766	0	0.5818	0.0766	1.0	1.0
salm10000rep13_kr2bac_c1	Round1-2	kr2bac	c1	10000	921	4833	4246	0	921	0	237	237	0	0.0921	0.0237	1.0	1.0
salm100000rep18_kr2bac_c0	Round1-2	kr2bac	c0	100000	98945	976	0	79	101882	2937	9643	9630	13	0.98945	0.0963	0.9711725329302526	0.9986518718241211
salm100000rep18_kr2bac_c0.25	Round1-2	kr2bac	c0.25	100000	93822	6178	0	0	93822	0	9515	9515	0	0.93822	0.09515	1.0	1.0
salm100000rep18_kr2bac_c0.5	Round1-2	kr2bac	c0.5	100000	83252	16747	1	0	83252	0	9160	9160	0	0.83252	0.0916	1.0	1.0
salm100000rep18_kr2bac_c0.75	Round1-2	kr2bac	c0.75	100000	58107	40930	963	0	58107	0	7933	7933	0	0.58107	0.07933	1.0	1.0
salm100000rep18_kr2bac_c1	Round1-2	kr2bac	c1	100000	9256	48618	42126	0	9256	0	2449	2449	0	0.09256	0.02449	1.0	1.0
salm100000rep17_kr2bac_c0	Round1-2	kr2bac	c0	100000	98991	933	0	76	101885	2894	9476	9462	14	0.98991	0.09462	0.9715954262158316	0.99852258336851
salm100000rep17_kr2bac_c0.25	Round1-2	kr2bac	c0.25	100000	93960	6040	0	0	93960	0	9333	9333	0	0.9396	0.09333	1.0	1.0
salm100000rep17_kr2bac_c0.5	Round1-2	kr2bac	c0.5	100000	83151	16849	0	0	83151	0	8974	8974	0	0.83151	0.08974	1.0	1.0
salm100000rep17_kr2bac_c0.75	Round1-2	kr2bac	c0.75	100000	58082	40961	957	0	58082	0	7781	7781	0	0.58082	0.07781	1.0	1.0
salm100000rep17_kr2bac_c1	Round1-2	kr2bac	c1	100000	9460	48341	42199	0	9460	0	2400	2400	0	0.0946	0.024	1.0	1.0
salm100000rep4_kr2bac_c0	Round1-2	kr2bac	c0	100000	98959	950	0	91	101849	2890	9420	9408	12	0.98959	0.09408	0.9716246600359355	0.9987261146496815
salm100000rep4_kr2bac_c0.25	Round1-2	kr2bac	c0.25	100000	93850	6150	0	0	93850	0	9292	9292	0	0.9385	0.09292	1.0	1.0
salm100000rep4_kr2bac_c0.5	Round1-2	kr2bac	c0.5	100000	83119	16880	1	0	83119	0	8956	8956	0	0.83119	0.08956	1.0	1.0
salm100000rep4_kr2bac_c0.75	Round1-2	kr2bac	c0.75	100000	57998	41068	934	0	57998	0	7735	7735	0	0.57998	0.07735	1.0	1.0
salm100000rep4_kr2bac_c1	Round1-2	kr2bac	c1	100000	9461	48294	42245	0	9461	0	2423	2423	0	0.09461	0.02423	1.0	1.0
salm10000rep7_kr2bac_c0	Round1-2	kr2bac	c0	10000	9890	106	0	4	12877	2987	927	914	13	0.989	0.0914	0.7680360332375553	0.9859762675296656
salm10000rep7_kr2bac_c0.25	Round1-2	kr2bac	c0.25	10000	9417	583	0	0	9417	0	900	900	0	0.9417	0.09	1.0	1.0
salm10000rep7_kr2bac_c0.5	Round1-2	kr2bac	c0.5	10000	8357	1643	0	0	8357	0	857	857	0	0.8357	0.0857	1.0	1.0
salm10000rep7_kr2bac_c0.75	Round1-2	kr2bac	c0.75	10000	5769	4135	96	0	5769	0	731	731	0	0.5769	0.0731	1.0	1.0
salm10000rep7_kr2bac_c1	Round1-2	kr2bac	c1	10000	951	4890	4159	0	951	0	210	210	0	0.0951	0.021	1.0	1.0
salm10000rep8_kr2bac_c0	Round1-2	kr2bac	c0	10000	9904	87	0	9	12826	2922	987	977	10	0.9904	0.0977	0.772181506315297	0.9898682877406282
salm10000rep8_kr2bac_c0.25	Round1-2	kr2bac	c0.25	10000	9354	646	0	0	9354	0	966	966	0	0.9354	0.0966	1.0	1.0
salm10000rep8_kr2bac_c0.5	Round1-2	kr2bac	c0.5	10000	8280	1720	0	0	8280	0	942	942	0	0.828	0.0942	1.0	1.0
salm10000rep8_kr2bac_c0.75	Round1-2	kr2bac	c0.75	10000	5762	4150	88	0	5762	0	824	824	0	0.5762	0.0824	1.0	1.0
salm10000rep8_kr2bac_c1	Round1-2	kr2bac	c1	10000	933	4787	4280	0	933	0	245	245	0	0.0933	0.0245	1.0	1.0
salm100rep14_kr2bac_c0	Round1-2	kr2bac	c0	100	99	0	0	1	3054	2955	23	8	15	0.99	0.08	0.03241650294695481	0.34782608695652173
salm100rep14_kr2bac_c0.25	Round1-2	kr2bac	c0.25	100	94	6	0	0	94	0	8	8	0	0.94	0.08	1.0	1.0
salm100rep14_kr2bac_c0.5	Round1-2	kr2bac	c0.5	100	80	20	0	0	80	0	8	8	0	0.8	0.08	1.0	1.0
salm100rep14_kr2bac_c0.75	Round1-2	kr2bac	c0.75	100	58	39	3	0	58	0	8	8	0	0.58	0.08	1.0	1.0
salm100rep14_kr2bac_c1	Round1-2	kr2bac	c1	100	14	47	39	0	14	0	4	4	0	0.14	0.04	1.0	1.0
salm100rep12_kr2bac_c0	Round1-2	kr2bac	c0	100	99	1	0	0	3077	2978	25	13	12	0.99	0.13	0.03217419564510887	0.52
salm100rep12_kr2bac_c0.25	Round1-2	kr2bac	c0.25	100	90	10	0	0	90	0	13	13	0	0.9	0.13	1.0	1.0
salm100rep12_kr2bac_c0.5	Round1-2	kr2bac	c0.5	100	79	21	0	0	79	0	11	11	0	0.79	0.11	1.0	1.0
salm100rep12_kr2bac_c0.75	Round1-2	kr2bac	c0.75	100	52	47	1	0	52	0	8	8	0	0.52	0.08	1.0	1.0
salm100rep12_kr2bac_c1	Round1-2	kr2bac	c1	100	4	49	47	0	4	0	1	1	0	0.04	0.01	1.0	1.0
salm10000rep1_kr2bac_c0	Round1-2	kr2bac	c0	10000	9900	94	0	6	12825	2925	980	966	14	0.99	0.0966	0.7719298245614035	0.9857142857142858
salm10000rep1_kr2bac_c0.25	Round1-2	kr2bac	c0.25	10000	9410	590	0	0	9410	0	954	954	0	0.941	0.0954	1.0	1.0
salm10000rep1_kr2bac_c0.5	Round1-2	kr2bac	c0.5	10000	8336	1664	0	0	8336	0	909	909	0	0.8336	0.0909	1.0	1.0
salm10000rep1_kr2bac_c0.75	Round1-2	kr2bac	c0.75	10000	5799	4094	107	0	5799	0	784	784	0	0.5799	0.0784	1.0	1.0
salm10000rep1_kr2bac_c1	Round1-2	kr2bac	c1	10000	926	4877	4197	0	926	0	249	249	0	0.0926	0.0249	1.0	1.0
salm100rep9_kr2bac_c0	Round1-2	kr2bac	c0	100	100	0	0	0	3066	2966	23	11	12	1.0	0.11	0.03261578604044357	0.4782608695652174
salm100rep9_kr2bac_c0.25	Round1-2	kr2bac	c0.25	100	94	6	0	0	94	0	10	10	0	0.94	0.1	1.0	1.0
salm100rep9_kr2bac_c0.5	Round1-2	kr2bac	c0.5	100	85	15	0	0	85	0	10	10	0	0.85	0.1	1.0	1.0
salm100rep9_kr2bac_c0.75	Round1-2	kr2bac	c0.75	100	54	44	2	0	54	0	9	9	0	0.54	0.09	1.0	1.0
salm100rep9_kr2bac_c1	Round1-2	kr2bac	c1	100	8	50	42	0	8	0	3	3	0	0.08	0.03	1.0	1.0
salm100000rep2_kr2bac_c0	Round1-2	kr2bac	c0	100000	98958	941	0	101	101873	2915	9482	9464	18	0.98958	0.09464	0.9713859413190934	0.9981016663151234
salm100000rep2_kr2bac_c0.25	Round1-2	kr2bac	c0.25	100000	93831	6169	0	0	93831	0	9320	9320	0	0.93831	0.0932	1.0	1.0
salm100000rep2_kr2bac_c0.5	Round1-2	kr2bac	c0.5	100000	82968	17032	0	0	82968	0	8948	8948	0	0.82968	0.08948	1.0	1.0
