fileID	Analysis round	Database	Kr2 confidence	Senterica reads in library	S.ent reads correctly IDed	S.ent reads assigned higher	Unclassified	S.ent reads incorrectly assigned	Tot reads IDed as Salm	False positives	Hits to SSRs	S.ent hits to SSRs	SSRs False Pos	Recall_Kr2	Recall_SSRs	Precision Kr2	Precision SSRs
negrep1_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep2_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep3_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep4_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep5_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep6_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep7_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep8_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep9_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep10_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep11_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep12_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep13_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep14_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep15_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep16_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep17_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep18_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep19_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
negrep20_kr2bac_c0.25	Round4	kr2bac	c0.25	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0
salm1000rep1_kr2bac_c0.25	Round4	kr2bac	c0.25	1000	932	68	0	0	932	0	90	90	0	0.932	0.09	1.0	1.0
salm1000rep2_kr2bac_c0.25	Round4	kr2bac	c0.25	1000	940	60	0	0	940	0	94	94	0	0.94	0.094	1.0	1.0
salm1000rep3_kr2bac_c0.25	Round4	kr2bac	c0.25	1000	941	59	0	0	941	0	85	85	0	0.941	0.085	1.0	1.0
salm1000rep4_kr2bac_c0.25	Round4	kr2bac	c0.25	1000	925	75	0	0	925	0	94	94	0	0.925	0.094	1.0	1.0
salm1000rep5_kr2bac_c0.25	Round4	kr2bac	c0.25	1000	936	64	0	0	936	0	100	100	0	0.936	0.1	1.0	1.0
salm1000rep6_kr2bac_c0.25	Round4	kr2bac	c0.25	1000	926	74	0	0	926	0	93	93	0	0.926	0.093	1.0	1.0
salm1000rep7_kr2bac_c0.25	Round4	kr2bac	c0.25	1000	924	76	0	0	924	0	83	83	0	0.924	0.083	1.0	1.0
salm1000rep8_kr2bac_c0.25	Round4	kr2bac	c0.25	1000	937	63	0	0	937	0	109	109	0	0.937	0.109	1.0	1.0
salm1000rep9_kr2bac_c0.25	Round4	kr2bac	c0.25	1000	942	58	0	0	942	0	93	93	0	0.942	0.093	1.0	1.0
salm1000rep10_kr2bac_c0.25	Round4	kr2bac	c0.25	1000	922	78	0	0	922	0	100	100	0	0.922	0.1	1.0	1.0
salm1000rep11_kr2bac_c0.25	Round4	kr2bac	c0.25	1000	936	64	0	0	936	0	96	96	0	0.936	0.096	1.0	1.0
salm1000rep12_kr2bac_c0.25	Round4	kr2bac	c0.25	1000	945	55	0	0	945	0	89	89	0	0.945	0.089	1.0	1.0
